Participant,Session,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 George arrives in Angela’s office after a long and hot journey on the subway. Angela immediately begins to talk about some business ideas. George interrupts Angela by saying, “Oh my! It was a long, hot journey on the subway!” 
What does George really mean when he says this?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Gordon goes to the supermarket with his mother. They arrive at the candy aisle. Gordon says, “Wow! Those M&Ms look so good!” 
What does Gordon really mean when he says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Melissa goes to the bathroom for a shower. Anne has just had a bath. Melissa notices the bath is dirty so she calls upstairs to Anne, “Couldn’t you find the cleaning spray, Anne?”
What does Melissa really mean when she says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Paul has to go to an interview and he’s running late. While he is cleaning his shoes, he says to his wife, Jane, “I want to wear that blue shirt but it’s very wrinkled.” 
What does Paul really mean when he says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Lucy is broke but she wants to go out in the evening. She knows that David has just been paid. She says to him, “I’m so broke! Things are so expensive these days.”
What does Lucy really mean when she says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Rebecca’s birthday is approaching. She says to her Dad: “I love animals, especially dogs.” 
What does Rebecca really mean when she says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Jordan wants to run a project at work but Richard, his boss, has asked someone else to run it. Jordan says, “What a shame. I’m not that busy at the moment.” 
What does Jordan really mean when he says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Ben and Michael moved into their new house a week ago. Ben has been unpacking some décor. He says to Michael, “Have you unpacked those shelves we bought, Michael?” 
What does Ben really mean when he says this?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Jessica and Max are playing with a train set. Jessica has the blue train and Max has the red one. Jessica says to Max, “I don’t like this train.” 
What does Jessica really mean when she says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Alex is just getting off the bus with three heavy suitcases. John is standing behind them. Alex says to John, “Gosh! These suitcases are annoying.” 
What did Alex really mean when they said this?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Paula’s phone battery is running low. Her colleague Wendy has a phone charger on her desk that she is not currently using. Paula says to Wendy, “My phone’s about to die.” 
What does Paula really mean when she says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Kevin and Stacey have just had a meal at a fancy restaurant. When the waiter brings them the bill, he says to them, “Service is not included.” 
What does the waiter really mean when he says this? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Sam and John have just left the office and have to go home. While they are saying goodbye, it begins to rain heavily. Sam has a car, but John does not have a driver’s license and has forgotten his umbrella. John exclaims, “Oh no! I’ll get home soaked! I wish I had a car too.” 
What did John really mean when he said this?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Mary is an old lady. She goes for a walk in the park every morning, and then comes back by bus when her feet get too tired. One day, the bus is full and there are no free seats. She moves to stand near where a young man is sitting and says, “Ah my poor legs, I’m so tired.” 
What did Mary really mean when she said this?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Karl goes to the supermarket with his friend Max to do a weekly shop. They only have one bag, so they load the groceries in it and Max then carries it out. When they are halfway home, Max says to Karl, “My bad back isn’t happy about all these groceries!” 
What does Max really mean when he says this?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story.

 Jenny is about to leave for a trip to Japan. Her mum is giving her a ride to the airport and says to her, “I remember those lovely candies you brought me the last time you went to Japan. They’re very hard to find here at home.” 
What does Jenny’s mum really mean when she says this?",
,,Answer1,Score1,Answer2,Score2,Answer3,Score3,Answer4,Score4,Answer5,Score5,Answer6,Score6,Answer7,Score7,Answer8,Score8,Answer9,Score9,Answer10,Score10,Answer11,Score11,Answer12,Score12,Answer13,Score13,Answer14,Score14,Answer15,Score15,Answer16,Score16
Human,1,"He is tired from the long and hot journey and doesn't feel like immediately getting into business mode, and doing work straight away. So he interrupts her, to change the subject.",0,"He wants his mother to buy him so candy, hence bringing her attention towards it.",1,"Melissa is bringing the dirty bath to the attention of Anne, and trying to get her to either clean it now or clean it in the future after baths.",1,"He wants his wife to iron his shirt, without directly asking, as he's short on time.",1,She's asking him for money without directly asking him.,1,Hinting to her father what she's wants for her birthday.,1,"Straight-up translation. ""I'm not busy, so let me run this project.""",1,"A common tactic of asking if someone has done something, knowing damn well they haven't, just to get them to do it now. Ben wants Michael to unpack the shelves.",1,She wants to swap trains with Max.,1,Alex wants John's lazy ass to help with the heavy suitcases.,1,She wants Wendy to offer her phone charger.,1,The waiter wants a tip.,1,John wants Sam to give him a lift home like a nice colleague would.,1,"She wants the young man to stand up and offer herself (an old lady), a seat like any respectable young man would.",1,"Max wants Karl's lazy ass to do a shift of carrying the bag for the rest of the journey. As Max has done if for half the journey.
 
 Also, 'Karl Max' is awfully close to 'Karl Marx'. How based.",1,Jenny's Mum wants her daughter to get some more of those candies Jenny brought home last time.,1
Human,2,He could just meant exactly what he said or he could mean he doesn't want to hear her business ideas,0,He probably wants his mother to buy him the candy,1,She is probably being sarcastic,0,He might meant he wants his wife to iron his shirt,1,She might be hinting she want some money/to go out and David to pay for it.,1,She might be hinting she wants a dog for her birthday,1,He might have wanted the job,1,He might mean he wants the shelves put up,1,She probably wants the other train,1,He probably wants help with them,1,She probably wants to use the charger,1,There will be more to pay,0,He probably wants a lift,1,She probably wants a seat,1,He might want help with them,1,She might want more candles bought for her,1
Human,3,He means that the journey was long and it was also hot.,0,He means that the M&Ms look like they could be delicious.,0,Melissa wants to know the reason Anne did not clean the bath.,0,Paul wants to wear his blue shirt but it is wrinkled. So he wants to aks his wife to iron the shirt for him.,1,She means that she does not have money and to ask David to pay for her.,1,She is just telling her dad that she likes dogs.,0,Jordan means that he is not busy and would like to run the project.,1,He means that Michael should be unpacked.,0,Jessica wants Max to swap trains with her.,1,Alex means to ask John to assist her with her suticases.,1,Paula means to ask Wendy to lend her the charger.,1,He means that the gratuity fee is not included.,0,John means to ask Sam if he could ride with him and drop him off at home.,1,Mary means that the boy should give up his seat for her.,1,Karl means that Max should help him with the groceries.,1,Jenny's mum means to ask Jenny to buy her the candles again.,1
Human,4,He's telling Angela to stop talking about business as he is not in the mood.,0,Gordon is really saying he wants those M&M's.,1,Melissa is being passive aggressive and she is telling and to clean up after herself.,1,Paul wants Jane to iron his shirt as he don't have time to do it himself.,1,She is trying to see if David could give/lend her some money to go out with.,1,She wants a dog for her Birthday.,1,Jordan wants the job that his boss has given someone else.,1,Ben is subtly asking Michael for help in unpacking.,1,Jessica wants Max's train.,1,Alex would like some help from John in carrying the suitcases.,1,Paula would like to borrow the charger.,1,Waiter would like them to include a service tip.,1,John would like a lift home.,1,Mary would like the seat.,1,Max would like some help with carrying the bag.,1,Jenny mum would like some of the candies bringing back when she returns.,1
Human,5,that the subway was very crowded and hot when travelling to work,0,that the packaging is good and it looks delicious to buy,0,that anne didnt clean the bathroom properly,0,he wants to wear it so can someone else iron it for him,1,that she can't afford this,0,she prefers dogs compared to other pets,0,that he really wanted to do it if he had asked him earlier,1,have you done your job yet,1,that she wants another train other than the one she got,0,that there are a lot of suitcase that he needs to carry,0,she wants her to give the phone charger as the battery is low on her phone,1,that you need to pay extra for service fee,1,someone might give them a ride,0,she wants to sit down,1,he wants someone else to carry the bags,0,asking her to bring candies from japan,1
Human,6,He's tired and maybe thirsty and Angela has been a bit rude not asking if he needs anything before starting the meeting,0,"That he likes the look of the M&Ms, think they'll be tasty and probably wants to buy them",1,Melissa is annoyed that Anne didn't clean the bath and is telling Anne this without saying it directly,1,Paul wants his wife to help save time and iron his shirt for him,1,That she can't afford to go out but wonders if David will pay for them both and treat her,1,Rebecca wants a dog - hopes that Dad will buy one,1,Jordan wants his boss to know that he's disappointed he wasn't chosen as he was a logical choice and actually free,1,Ben thinks Michael has taken too long to help unpack as it's been a week and still the shelves aren't done. He wants Michael to go and do it,1,Jessica wants Max's red train set instead of her own,1,That they are hard to get off the bus and he wants John to offer to help,1,Can she borrow Wendys charger,1,"That the tip for the waiter needs to be added on top, reminding them to tip in the first place",1,Can Sam give him a left and stop him getting wet,1,Can the young man offer his seat so Mary can sit down,1,Can Karl help and take the bag,1,Can Jenny makes sure she buys candles again for her mum as a present,1
Human,7,George means he isnt in the right mind to listen to Angela and fears he may not hear her clearly because he is stilll distracted by the long hot journey he took,0,he wants his mother to be intrested in what he is saying and buy him the M & Ms,1,Melissa is saying that Annie was supposed to find the cleaning spray and clean the bathroom before going uostairs and not leave her filth in the bath,1,He is hinting to his wife to iron that wrinkled shirt for him,1,She is saying she doeant have money and hopes to go out and have him pay for everthing,1,She is hinting that he buys her a dog for her birthday gift,1,Jordan means that he wants to work on the project and has time available,1,He is taking Micheal to unbox the shelves and build them,1,She wants max to swap trains with her,1,Alex is saying he cant carry everything and needs help from John,1,She is asking wendy to borrow her a charger and let her charge,1,He is telling them to tip him,1,He is asking Sam to drive him home,1,She is saying the young man move and allow her to sit in his place,1,He is saying he got a heavy grocery bag and doesnt want to carry it,0,She wants her to buy candies when she comes back from Japan,1
Human,8,"Give me a minute, I've just arrived.",0,Please can I have those M and Ms,1,Come back and clean your mess.,1,Please can you iron my shirt,1,Can you lend me some money,1,I'd like a dog for my birthday,1,Give me the project.,1,"I can see they haven't been unpacked, hurry up",1,Can we swap?,1,Can you help me carry them please,1,Can I borrow your charger,1,You'll have to add my tip on,1,Can you give me a lift,1,Offer me your seat,1,Can we swap now,1,Can you buy me some more candies,1
