trials,target,flanker,type,correct,congruency
1,>,>,prac,ArrowRight,c
2,<,<,prac,ArrowLeft,c
3,>,<,prac,ArrowRight,i
4,>,>,prac,ArrowRight,c
5,<,>,prac,ArrowLeft,i
6,>,<,prac,ArrowRight,i
7,<,<,prac,ArrowLeft,c
8,<,>,prac,ArrowLeft,i
1,>,>,exp,ArrowRight,c
2,>,<,exp,ArrowRight,i
3,<,<,exp,ArrowLeft,c
4,>,<,exp,ArrowRight,i
5,>,<,exp,ArrowRight,i
6,<,<,exp,ArrowLeft,c
7,<,>,exp,ArrowLeft,i
8,<,>,exp,ArrowLeft,i
9,>,>,exp,ArrowRight,c
10,<,<,exp,ArrowLeft,c
11,>,<,exp,ArrowRight,i
12,>,>,exp,ArrowRight,c
13,<,>,exp,ArrowLeft,i
14,>,>,exp,ArrowRight,c
15,>,<,exp,ArrowRight,i
16,<,>,exp,ArrowLeft,i
17,<,<,exp,ArrowLeft,c
18,<,>,exp,ArrowLeft,i
19,>,>,exp,ArrowRight,c
20,>,<,exp,ArrowRight,i
21,<,>,exp,ArrowLeft,i
22,<,<,exp,ArrowLeft,c
23,<,<,exp,ArrowLeft,c
24,>,<,exp,ArrowRight,i
25,>,<,exp,ArrowRight,i
26,<,<,exp,ArrowLeft,c
27,>,<,exp,ArrowRight,i
28,>,>,exp,ArrowRight,c
29,>,>,exp,ArrowRight,c
30,<,>,exp,ArrowLeft,i
31,<,<,exp,ArrowLeft,c
32,>,<,exp,ArrowRight,i
33,<,<,exp,ArrowLeft,c
34,>,>,exp,ArrowRight,c
35,<,>,exp,ArrowLeft,i
36,<,<,exp,ArrowLeft,c
37,<,>,exp,ArrowLeft,i
38,>,>,exp,ArrowRight,c
39,<,>,exp,ArrowLeft,i
40,>,<,exp,ArrowRight,i
41,<,<,exp,ArrowLeft,c
42,<,>,exp,ArrowLeft,i
43,>,>,exp,ArrowRight,c
44,<,>,exp,ArrowLeft,i
45,<,>,exp,ArrowLeft,i
