trials,target,flanker,type,correct,congruency
1,>,>,prac,p,c
2,<,<,prac,q,c
3,>,<,prac,p,i
4,>,>,prac,p,c
5,<,>,prac,q,i
6,>,<,prac,p,i
7,<,<,prac,q,c
8,<,>,prac,q,i
1,<,>,exp,q,i
2,>,>,exp,p,c
3,<,<,exp,q,c
4,>,>,exp,p,c
5,>,<,exp,p,i
6,<,<,exp,q,c
7,>,<,exp,p,i
8,>,>,exp,p,c
9,<,>,exp,q,i
10,<,>,exp,q,i
11,>,<,exp,p,i
12,<,<,exp,q,c
13,<,>,exp,q,i
14,<,<,exp,q,c
15,>,<,exp,p,i
16,>,>,exp,p,c
17,<,>,exp,q,i
18,>,>,exp,p,c
19,>,<,exp,p,i
20,>,<,exp,p,i
21,<,<,exp,q,c
22,<,>,exp,q,i
23,<,<,exp,q,c
24,>,>,exp,p,c
25,>,<,exp,p,i
26,<,<,exp,q,c
27,>,<,exp,p,i
28,<,<,exp,q,c
29,<,<,exp,q,c
30,<,>,exp,q,i
31,>,>,exp,p,c
32,<,<,exp,q,c
33,>,<,exp,p,i
34,>,<,exp,p,i
35,>,>,exp,p,c
36,<,>,exp,q,i
37,<,<,exp,q,c
38,<,<,exp,q,c
39,>,<,exp,p,i
40,<,<,exp,q,c
41,>,<,exp,p,i
42,<,<,exp,q,c
43,<,<,exp,q,c
44,>,>,exp,p,c
45,<,>,exp,q,i
46,>,>,exp,p,c
47,>,>,exp,p,c
48,<,>,exp,q,i
49,<,>,exp,q,i
50,<,>,exp,q,i
51,>,>,exp,p,c
52,<,>,exp,q,i
53,>,<,exp,p,i
54,<,>,exp,q,i
55,<,<,exp,q,c
56,>,<,exp,p,i
57,>,<,exp,p,i
58,<,<,exp,q,c
59,>,>,exp,p,c
60,>,<,exp,p,i
61,>,>,exp,p,c
62,<,<,exp,q,c
63,<,<,exp,q,c
64,<,>,exp,q,i
65,>,<,exp,p,i
66,>,<,exp,p,i
67,>,>,exp,p,c
68,<,>,exp,q,i
69,<,>,exp,q,i
70,>,<,exp,p,i
71,<,<,exp,q,c
72,>,<,exp,p,i
73,<,<,exp,q,c
74,>,<,exp,p,i
75,<,>,exp,q,i
76,<,<,exp,q,c
77,<,>,exp,q,i
78,>,>,exp,p,c
79,>,>,exp,p,c
80,>,<,exp,p,i
81,<,<,exp,q,c
82,>,<,exp,p,i
83,>,>,exp,p,c
84,<,<,exp,q,c
85,<,>,exp,q,i
86,<,>,exp,q,i
87,>,>,exp,p,c
88,>,<,exp,p,i
89,>,>,exp,p,c
90,<,>,exp,q,i
91,<,>,exp,q,i
92,<,>,exp,q,i
93,>,>,exp,p,c
94,>,<,exp,p,i
95,>,<,exp,p,i
96,<,<,exp,q,c
97,<,<,exp,q,c
98,<,>,exp,q,i
99,>,>,exp,p,c
100,>,<,exp,p,i
101,<,<,exp,q,c
102,>,<,exp,p,i
103,<,>,exp,q,i
104,<,<,exp,q,c
105,>,<,exp,p,i
106,>,>,exp,p,c
107,>,<,exp,p,i
108,<,>,exp,q,i
109,>,>,exp,p,c
110,<,<,exp,q,c
111,<,<,exp,q,c
112,<,>,exp,q,i
113,>,>,exp,p,c
114,>,<,exp,p,i
115,>,<,exp,p,i
116,<,<,exp,q,c
117,<,<,exp,q,c
118,>,<,exp,p,i
119,<,>,exp,q,i
120,<,<,exp,q,c
121,>,<,exp,p,i
122,<,<,exp,q,c
123,<,<,exp,q,c
124,>,<,exp,p,i
125,>,<,exp,p,i
126,<,>,exp,q,i
127,>,>,exp,p,c
128,>,<,exp,p,i
129,>,>,exp,p,c
130,<,>,exp,q,i
131,>,<,exp,p,i
132,>,>,exp,p,c
133,>,<,exp,p,i
134,<,<,exp,q,c
135,<,<,exp,q,c
136,>,>,exp,p,c
137,<,>,exp,q,i
138,>,<,exp,p,i
139,<,<,exp,q,c
140,>,<,exp,p,i
141,<,>,exp,q,i
142,>,>,exp,p,c
143,<,<,exp,q,c
144,<,>,exp,q,i
145,>,>,exp,p,c
146,>,>,exp,p,c
147,<,>,exp,q,i
148,<,<,exp,q,c
149,<,>,exp,q,i
150,>,>,exp,p,c
151,>,>,exp,p,c
152,<,>,exp,q,i
153,>,>,exp,p,c
154,>,<,exp,p,i
155,<,<,exp,q,c
156,<,>,exp,q,i
157,>,<,exp,p,i
158,<,<,exp,q,c
159,<,<,exp,q,c
160,>,<,exp,p,i
161,<,>,exp,q,i
162,<,>,exp,q,i
163,<,<,exp,q,c
164,>,>,exp,p,c
165,>,<,exp,p,i
166,<,<,exp,q,c
167,>,<,exp,p,i
168,>,>,exp,p,c
169,>,>,exp,p,c
170,<,>,exp,q,i
171,>,>,exp,p,c
172,>,<,exp,p,i
173,>,>,exp,p,c
174,<,>,exp,q,i
175,>,>,exp,p,c
176,<,>,exp,q,i
177,<,<,exp,q,c
178,<,>,exp,q,i
179,>,>,exp,p,c
180,>,>,exp,p,c
181,<,>,exp,q,i
182,<,<,exp,q,c
183,<,>,exp,q,i
184,>,>,exp,p,c
185,<,>,exp,q,i
186,>,>,exp,p,c
187,>,>,exp,p,c
188,<,>,exp,q,i
189,>,>,exp,p,c
190,<,<,exp,q,c
191,>,>,exp,p,c
192,>,<,exp,p,i
193,>,>,exp,p,c
194,<,<,exp,q,c
195,<,>,exp,q,i
196,<,>,exp,q,i
197,>,<,exp,p,i
198,<,<,exp,q,c
199,>,<,exp,p,i
200,>,>,exp,p,c
