trials,target,flanker,type,correct,congruency,faces
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp,prac,p,c,WF
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp,prac,q,c,BF
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp,prac,p,i,BF
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp,prac,p,c,WF
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp,prac,q,i,BF
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp,prac,p,i,WF
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.bmp,prac,q,c,WF
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_HC.bmp,prac,q,i,BF
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.bmp,exp,p,i,WF
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_HC.bmp,exp,q,i,WF
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_HC.bmp,exp,q,i,WF
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_NC.bmp,exp,q,c,BF
