trials,target,flanker,type,correct,congruency,faces
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp,prac,p,c,WM
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,prac,q,c,BM
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,prac,p,i,BM
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp,prac,p,c,WM
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp,prac,q,i,BM
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp,prac,p,i,WM
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp,prac,q,c,WM
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_HC.bmp,prac,q,i,BM
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_HC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM03/BM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp,exp,p,i,BM
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_HC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_HC.bmp,exp,q,i,BM
