trials,target,flanker,type,correct,congruency,faces
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp,prac,p,c,WM
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp,prac,q,c,BM
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp,prac,p,i,BM
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp,prac,p,c,WM
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp,prac,q,i,BM
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp,prac,p,i,WM
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.webp,prac,q,c,WM
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_SC.webp,prac,q,i,BM
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_SC.webp,exp,p,c,BM
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_NC.webp,exp,p,i,BM
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM03/BM03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_SC.webp,exp,p,c,BM
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_SC.webp,exp,q,i,BM
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.webp,exp,p,i,WM
